feedback_id,persona,subscription_type,platform,rating,feature_area,feedback_text,sentiment
FB062,P3-Active Trader,Pro,Android,3,Data Quality,"On the free plan, stock prices are delayed by 15 minutes. For a swing trader trying to time entries and exits, this is essentially useless. Even with Pro, I'm not sure the data is truly real-time.",Negative
FB063,P3-Active Trader,Pro,Web,3,Charts & Technical Analysis,"The RSI and SMA indicators in the screener are useful for scanning. But the chart itself doesn't support adding custom indicators. I want MACD, Bollinger Bands, Volume Profile — none of these are available.",Negative
FB064,P3-Active Trader,Free,Android,4,Stock Screener,"For swing traders, the RSI < 30 screen is a good entry point discovery tool. I use it to generate a watchlist of oversold stocks and then use TradingView for detailed chart analysis. Good for pre-screening.",Mixed
FB065,P3-Active Trader,Pro,Web,2,Charts & Technical Analysis,"The chart interface lags during market hours. Price candles take 3-5 seconds to update. For intraday or swing trading, this lag is unacceptable. TradingView handles real-time charts much better.",Negative
FB066,P3-Active Trader,Pro,Android,4,Stock Screener,The combination of technical screener filters with fundamentals is where Tickertape shines for traders. I can find stocks that are technically oversold but have strong balance sheets — that's a unique edge.,Positive
FB067,P3-Active Trader,Free,Android,3,Market Data & MMI,"MMI is a useful macro sentiment tool. I use it to decide whether to be aggressive or defensive in my swing trades. Works as a good 30,000-foot sentiment check.",Mixed
FB068,P3-Active Trader,Pro,Web,1,Charts & Technical Analysis,"As an active trader, Tickertape's charting module is a major disappointment. No drawing tools, no alert on technical indicator conditions, no option chain data. This is analysis software, not trading software.",Negative
FB069,P3-Active Trader,Pro,Android,3,Alerts & Notifications,"Price alerts are useful but too simplistic. I want alerts when a stock crosses a moving average, or when volume spikes above average. These are basic features that any trading-focused app should have.",Negative
FB070,P3-Active Trader,Pro,Web,4,Stock Screener,The ability to screen stocks using EMA crossovers is a genuinely useful trading filter. Not many platforms offer this in a screener format. Tickertape gets credit for thinking about trader use cases.,Positive
FB071,P3-Active Trader,Free,Android,2,Data Quality,Looked up a stock during the trading session and the volume data on Tickertape was showing yesterday's figure. This is embarrassing for a market data app. Data freshness needs to be addressed urgently.,Negative
FB072,P3-Active Trader,Pro,Web,3,UI/UX,Switching between stocks in the screener results is slow. There's too much page reload every time I click a stock. I want a slide-in panel or split-screen view to compare multiple screener results without losing context.,Negative
FB073,P3-Active Trader,Pro,iOS,4,Stock Screener,The 52-week high/low screens and momentum screens are good for identifying breakout candidates. I use these as input for my weekly watchlist alongside TradingView charts.,Positive
FB074,P3-Active Trader,Free,Android,1,Charts & Technical Analysis,Tried to use Tickertape for intraday analysis. The charts don't even support 5-minute candles. Minimum is daily. This is not suitable for any kind of active trading. Clear gap in the product.,Negative
FB075,P3-Active Trader,Pro,Web,3,Data Quality,"Delivery percentage data is not reliably updated. For swing trading, delivery % is a critical signal and it often shows blank or stale data. This gap makes me rely on NSE website directly.",Negative
FB076,P3-Active Trader,Pro,Android,4,Stock Screener,FII/DII activity data in the screener is very useful. I built a screen that flags stocks with increasing FII holding over 3 consecutive quarters — excellent for identifying institutional accumulation.,Positive
FB077,P3-Active Trader,Pro,iOS,3,Broker Integration,The one-click buy from screener results via Zerodha integration is useful but the execution flow is clunky. Takes too many taps. Should be max 2 taps from screener to order confirmation.,Mixed
FB078,P3-Active Trader,Pro,Web,2,Performance/Speed,"The app slows down significantly between 9:15 AM and 11 AM, exactly when I need it most. Loading a stock page can take 8-10 seconds during market open. This is a real problem for time-sensitive decisions.",Negative
FB079,P3-Active Trader,Free,Android,3,Charts & Technical Analysis,"Tickertape is a research tool, not a trading terminal. Once I understood that, I started using it appropriately. For quick fundamental checks before entering a trade, it's good. But chart-based trading — use TradingView.",Mixed
FB080,P3-Active Trader,Pro,Web,4,Stock Screener,The bulk deals screener is gold for traders. I track institutional block deals to see where smart money is moving. The filters and historic data are well-maintained for this feature.,Positive
FB081,P3-Active Trader,Pro,Android,2,Alerts & Notifications,Alert notifications are delayed. I set an alert for a price level and got the notification 12 minutes after the stock had already crossed it. An alert that arrives late is useless for any active trading context.,Negative
FB082,P3-Active Trader,Free,Web,3,Market Data & MMI,Would love if MMI had sector-level sentiment indices — not just the overall market. Knowing that IT sector sentiment is in fear while FMCG is in greed would be very actionable.,Mixed
FB083,P3-Active Trader,Pro,Web,4,Stock Screener,The volume anomaly screener — stocks with unusual volume spikes — is a great addition. Volume is often the first signal of institutional activity and having this built into a screener is very useful.,Positive
FB084,P3-Active Trader,Pro,Android,3,Data Quality,"Options chain data is missing entirely. As someone who trades options alongside equities, I'd love to see options OI, PCR, and max pain data on Tickertape. That would make it a one-stop shop.",Negative
FB085,P3-Active Trader,Pro,iOS,4,UI/UX,The watchlist widget for the home screen is very handy. I can glance at my tracked stocks without opening the full app. Response time could be faster but the design is clean and functional.,Mixed
FB086,P3-Active Trader,Free,Android,2,Charts & Technical Analysis,"For a platform called Ticker-Tape, the charts are ironically the weakest part. No intraday, no drawing tools, no custom indicators. The name suggests real-time data but the reality is far from it.",Negative
FB087,P4-MF/SIP Investor,Free,Android,5,MF Screener,"The mutual fund screener is the best I've used in India. I can filter by Sharpe ratio, alpha, expense ratio, fund manager tenure, AUM all at once. It took me 10 minutes to build my 3-fund portfolio from scratch.",Positive
FB088,P4-MF/SIP Investor,Free,Android,3,MF Screener,"The MF screener doesn't have a 'Modified Duration' filter for debt funds. For someone investing in duration funds, this is a critical gap. Screener.in has it, Tickertape doesn't. Please add it.",Negative
FB089,P4-MF/SIP Investor,Pro,Android,4,Portfolio Tracker,"Tracking all my SIPs across Zerodha Coin, Groww, and MFCentral in one view is extremely convenient. The unified portfolio view with XIRR calculation across all SIPs is very helpful.",Positive
FB090,P4-MF/SIP Investor,Free,Android,2,MF Screener,"The MF screener is good but fund overlap analysis is behind a paywall. Understanding how much my three equity funds overlap in holdings is a fundamental research need, not a premium luxury.",Negative
FB091,P4-MF/SIP Investor,Free,iOS,5,MF Screener,Finally an app that shows rolling returns instead of just trailing returns for mutual funds. Point-to-point returns are misleading and Tickertape's rolling return charts give a much more honest picture.,Positive
FB092,P4-MF/SIP Investor,Pro,Android,3,Data Quality,"The NAV data is updated daily, which is fine for mutual funds. But when I'm trying to calculate my actual XIRR, the transaction import from CAMS is sometimes incomplete or missing a few months.",Negative
FB093,P4-MF/SIP Investor,Free,iOS,4,MF Screener,The fund manager history and AMC profile section is very underrated. I check how a fund manager has performed across different tenures and market cycles before investing. Great research depth.,Positive
FB094,P4-MF/SIP Investor,Free,Android,3,UI/UX,The SIP calculator is good but lacks a step-up SIP option. Most systematic investors increase their SIP by 10% each year and the absence of this simple feature in the calculator feels like an oversight.,Mixed
FB095,P4-MF/SIP Investor,Pro,Android,4,Portfolio Tracker,The portfolio overlap checker is excellent. Found that my large-cap and flexi-cap funds had 65% overlap. Immediately adjusted my allocation. This feature alone justifies the Pro subscription.,Positive
FB096,P4-MF/SIP Investor,Free,Android,2,MF Screener,"Debt fund analysis is much weaker than equity fund analysis. Credit quality breakdown, YTM, maturity profile — some of these are missing or not clearly displayed. Debt investors are underserved here.",Negative
FB097,P4-MF/SIP Investor,Free,iOS,5,MF Screener,The exit load and lock-in period information is clearly displayed on every fund page. This is important for planning redemptions and I'm glad it's visible without needing Pro.,Positive
FB098,P4-MF/SIP Investor,Pro,Android,4,MF Screener,The direct vs regular plan comparison is useful for understanding how much I'm losing to distributor commissions. The cost difference visualization over 10-20 years is eye-opening.,Positive
FB099,P4-MF/SIP Investor,Free,Android,3,MF Screener,Category-level comparison is limited. I want to see the top 10 funds in ELSS sorted by 5-year alpha with expense ratio overlay. The current filtering is functional but not as granular as I'd like.,Mixed
FB100,P4-MF/SIP Investor,Pro,iOS,4,Portfolio Tracker,"I love the goal-based tracking feature. I've mapped each SIP to a life goal — retirement, child education, house down payment — and the projected corpus calculator keeps me motivated.",Positive
FB101,P4-MF/SIP Investor,Free,Android,1,Broker Integration,The CAMS import for mutual fund portfolios doesn't work half the time. I spent 30 minutes trying to import my 8-year SIP history and it kept timing out. This is the most critical feature for MF investors and it needs to be robust.,Negative
FB102,P4-MF/SIP Investor,Pro,Android,5,MF Screener,"I track NFOs here and the new fund offer section with AMC details, fund manager background, and category benchmarking helps me decide whether an NFO is worth investing in. Very practical tool.",Positive
FB103,P4-MF/SIP Investor,Free,iOS,3,MF Screener,"International fund analysis is weak. I invest in global funds and the underlying holdings, geographical exposure, and currency risk sections are either absent or very shallow for international MFs.",Mixed
FB104,P4-MF/SIP Investor,Pro,Android,4,MF Screener,The ability to filter mutual funds by sectoral allocation is very handy. I wanted exposure to manufacturing-themed funds and could quickly find all funds with high manufacturing sector weights.,Positive
FB105,P4-MF/SIP Investor,Free,Android,3,UI/UX,"The mutual fund page is well-organized but I wish there was a one-tap 'Start SIP' button that took me directly to my preferred platform. Right now, I have to leave Tickertape and open Coin or Groww separately.",Mixed
FB106,P4-MF/SIP Investor,Pro,Android,4,Portfolio Tracker,The XIRR vs category average comparison tells me whether my fund selection is actually beating passive alternatives. This is a sophisticated metric that most apps don't show. Very glad Tickertape has it.,Positive
FB107,P4-MF/SIP Investor,Free,iOS,2,MF Screener,"The free MF screener is so limited that it's basically unusable for serious MF research. You can filter by category and returns, and that's about it. Every meaningful metric like Sortino ratio or max drawdown is Pro-only.",Negative
FB108,P4-MF/SIP Investor,Pro,Android,3,Data Quality,A few of my SIPs don't show up in the portfolio section despite being linked from CAMS. This missing data throws off my overall portfolio analysis. It's been a persistent bug for 3 months.,Negative
FB109,P4-MF/SIP Investor,Free,Android,5,MF Screener,The expert opinion section on each MF — curated views from registered advisors — is very helpful for someone who doesn't want to go deep into the numbers. Helps me sanity-check my picks.,Positive
FB110,P4-MF/SIP Investor,Pro,iOS,4,MF Screener,"Tax efficiency analysis for mutual funds — showing LTCG, STCG implications based on holding period — is a feature I haven't seen well-implemented elsewhere. Tickertape's tax overlay on returns is genuinely useful.",Positive
FB111,P4-MF/SIP Investor,Free,Android,2,Pricing & Paywall,"I came to Tickertape specifically for MF research and found that most useful filters are behind Pro. Screener.in gives more free MF data. For casual MF investors, the free tier is just not good enough.",Negative
FB112,P4-MF/SIP Investor,Pro,Android,4,MF Screener,The Consistent Performers screen for mutual funds — filtering funds with above-benchmark performance across multiple time periods — is a great shortcut for finding reliable long-term performers.,Positive
FB113,P5-Portfolio Tracker,Pro,Android,4,Portfolio Tracker,"The multi-broker portfolio sync is the main reason I use Tickertape. I have accounts with Zerodha, Upstox, and HDFC Securities. Seeing all of them in one consolidated view with sector-level breakdowns is excellent.",Positive
FB114,P5-Portfolio Tracker,Free,Android,2,Broker Integration,"My Motilal Oswal account doesn't sync with Tickertape. It's been listed as a supported broker for months but every time I try to link it, I get an authentication error. Support has been unhelpful.",Negative
FB115,P5-Portfolio Tracker,Pro,iOS,4,Portfolio Tracker,"The diversification score methodology is well-explained. I can see my portfolio broken down by market cap, sector, theme, and asset class. It's helped me identify that I'm too concentrated in mid-caps.",Positive
FB116,P5-Portfolio Tracker,Pro,Android,3,Portfolio Tracker,"Portfolio sync is not real-time. Holdings update only once a day. If I buy a stock in the morning, it doesn't reflect in my Tickertape portfolio until the next day. This needs to be more frequent.",Negative
FB117,P5-Portfolio Tracker,Pro,Web,5,Portfolio Tracker,"The red flags feature is genuinely impressive. It proactively flagged that one of my holdings had declining promoter holding, rising pledging, and poor audit observations. That combination of warnings was very timely.",Positive
FB118,P5-Portfolio Tracker,Pro,Android,3,Broker Integration,"The Zerodha integration works well but after every Kite update, the linkage breaks and I have to re-authenticate. This is annoying. The integration should be more resilient to broker app updates.",Negative
FB119,P5-Portfolio Tracker,Pro,iOS,4,Portfolio Tracker,The realized P&L and unrealized P&L breakdown is useful for tax planning. Seeing how much STCG vs LTCG I've accumulated before March helps me decide whether to book losses before year-end.,Positive
FB120,P5-Portfolio Tracker,Pro,Android,2,Broker Integration,"The Upstox sync was completely broken for two weeks. I filed a support ticket and got a response after 7 days saying they were working on it. In the meantime, my portfolio analysis was entirely off. Very poor for a pro subscriber.",Negative
FB121,P5-Portfolio Tracker,Pro,Web,4,Portfolio Tracker,The peer comparison within my own portfolio is clever. I can see how my individual stock picks are performing vs their sector index. Helps me identify which bets have been right and which have lagged.,Positive
FB122,P5-Portfolio Tracker,Pro,Android,3,Portfolio Tracker,"Manual addition of holdings not linked via brokers is a bit clunky. Adding pre-IPO shares, unlisted stocks, or RSUs manually requires too many steps. A simpler manual entry flow would help.",Mixed
FB123,P5-Portfolio Tracker,Pro,iOS,5,Portfolio Tracker,"The portfolio overlap analysis between my stocks and the mutual funds I hold is a killer feature. Found that my direct equity bets had 70% overlap with my flexi-cap fund, making the fund redundant.",Positive
FB124,P5-Portfolio Tracker,Free,Android,2,Pricing & Paywall,"Portfolio analysis beyond basic P&L is entirely locked behind Pro. Even the sector allocation pie chart is paywalled on the free tier. Without this, the portfolio tracker is just a basic P&L viewer.",Negative
FB125,P5-Portfolio Tracker,Pro,Web,4,Portfolio Tracker,The 'compare with Nifty 500' benchmark comparison for my portfolio CAGR is very useful. It gives me an honest answer to whether my stock picking is adding value or if I'd be better off in an index fund.,Positive
FB126,P5-Portfolio Tracker,Pro,Android,3,Broker Integration,ICICI Direct integration works but it only pulls equity holdings. My ICICI FDs and bonds are not reflected. A truly consolidated net worth view needs to include all asset types.,Mixed
FB127,P5-Portfolio Tracker,Pro,iOS,4,Portfolio Tracker,"The corporate actions alert — informing me when a stock in my portfolio announces dividend, bonus, or buyback — is a very useful feature. Saves me from missing important events.",Positive
FB128,P5-Portfolio Tracker,Pro,Android,2,Portfolio Tracker,The portfolio performance calculation is wrong for stocks where I've done partial sell-offs. The XIRR gets incorrectly computed when there are multiple buy and sell transactions. This is a serious calculation bug.,Negative
FB129,P5-Portfolio Tracker,Pro,Web,5,Portfolio Tracker,"I track 4 family members' portfolios on one account using different watchlists mapped to each person. While this is a workaround, the multi-watchlist feature is flexible enough to support this use case.",Positive
FB130,P5-Portfolio Tracker,Pro,Android,3,Portfolio Tracker,The risk assessment feature is useful in concept but the methodology isn't transparent. I don't know how Tickertape defines 'high risk' for a stock. A scoring methodology document would build confidence.,Mixed
FB131,P5-Portfolio Tracker,Pro,iOS,4,Portfolio Tracker,"Getting a single-screen view of my equity, MF, gold, and FD holdings is very convenient. The net worth widget on the home screen showing total invested value with day's change is clean and satisfying.",Positive
FB132,P5-Portfolio Tracker,Free,Android,3,Broker Integration,Not all brokers are equally well-supported. My Kotak Securities account takes almost 24 hours to sync while my Zerodha syncs within hours. The consistency of sync speed across brokers needs improvement.,Mixed
FB133,P5-Portfolio Tracker,Pro,Web,4,Portfolio Tracker,"The ability to tag my investments by goal — retirement, house, car — and track goal-wise progress is a feature I didn't know I needed until I used it. Now it's central to my financial planning.",Positive
FB134,P5-Portfolio Tracker,Pro,Android,2,Broker Integration,"After a recent Tickertape update, my Groww portfolio sync stopped working. The holdings showed as zero. Took 3 days of back-and-forth with support to fix. Such regressions should not happen on a paid product.",Negative
FB135,P5-Portfolio Tracker,Pro,iOS,4,Portfolio Tracker,The tax harvesting suggestions — identifying which holdings are currently at a short-term loss that I could book to offset STCG — is a very practical feature for tax-savvy investors.,Positive
FB136,P5-Portfolio Tracker,Pro,Android,3,Performance/Speed,"The portfolio page takes 15-20 seconds to fully load with 30+ stocks and mutual funds. Compared to the Kite app which loads near-instantly, this is noticeably slow. Caching and lazy loading need to be implemented.",Negative
FB137,P5-Portfolio Tracker,Pro,Web,4,Portfolio Tracker,I appreciate the downloadable portfolio report as a PDF. I use it for my annual financial review and share it with my financial advisor. Clean formatting and comprehensive data.,Positive
